IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonFSx;%ThroughputCapacity;CreateFileSystem:Windows;
;;;;;AmazonFSx;%Storage;CreateFileSystem:Windows;
;;;;;AmazonFSx;%BackupUsage;CreateFileSystem:Windows;
;;;;;AmazonFSx;%DataTransfer-Regional-Bytes;CreateFileSystem:Windows;
;;;;;AmazonGlacier;;;Tax%
;;;;;AmazonGlacier;%Bytes;;
;;;;;AmazonGlacier;%ProvisionedCapacityUnit;;
;;;;;AmazonGlacier;%TimedStorage-ByteHrs;;
;;;;;AmazonGlacier;%Requests-Tier3;;
;;;;;AmazonGlacier;%Requests-Tier1;;
;;;;;AmazonGlacier;%EarlyDelete%;;
;;;;;AmazonGuardDuty;;;Tax%
;;;;;AmazonGuardDuty;%FreeEventsAnalyzed;;
;;;;;AmazonGuardDuty;%PaidEventsAnalyzed;;
;;;;;AmazonGuardDuty;%FreeEventsAnalyzed-Bytes;;
;;;;;AmazonGuardDuty;%PaidEventsAnalyzed-Bytes;;
;;;;;AmazonInspector;%agent-assessments%;;
;;;;;AmazonInspector;%network-assessments%;;
;;;;;AWSAmplify;%DataTransferOut;;
;;;;;AWSAmplify;%BuildDuration;;
;;;;;AWSBackup;%EarlyDelete-Cold%;;
;;;;;AWSBackup;%Restore-Cold%;;
;;;;;AWSBackup;%ColdStorage%;;
;;;;;AWSBackup;%Restore-Warm%;;
;;;;;AWSBackup;%WarmStorage%;;
;;;;;AmazonDAX;%NodeUsage%;;
;;;;;AmazonDynamoDB;;;Tax%
;;;;;AmazonDynamoDB;%WriteCapacityUnit-Hrs;;
;;;;;AmazonDynamoDB;%ReadCapacityUnit-Hrs;;
;;;;;AmazonDynamoDB;%RestoreDataSize-Bytes;;
;;;;;AmazonDynamoDB;%Streams-Requests;;
;;;;;AmazonDynamoDB;%WriteRequestUnits;;
;;;;;AmazonDynamoDB;%ReadRequestUnits;;
;;;;;AmazonEKS;;;Tax%
;;;;;AmazonEKS;%Fargate-vCPU-Hours%;;
;;;;;AmazonEKS;%Fargate-GB-Hours;;
;;;;;AmazonEKS;%AmazonEKS-Hours:perCluster;;
;;;;;AmazonSageMaker;%Notebk:%;;
;;;;;AmazonSageMaker;%Train:%;;
;;;;;AmazonSageMaker;%Processing%;RunInstance;
;;;;;AmazonSageMaker;%Tsform%;;
;;;;;AmazonSageMaker;%TrSpt%;;
;;;;;AmazonSageMaker;%Host:%;;
;;;;;AmazonSageMaker;%LabeledObject;;
