IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonRedshift;%Node:ra%;;
;;;;;AmazonRedshift;%RMS%;;
;;;;;AmazonRedshift;%DataScanned%;;
;;;;;AmazonRedshift;%Node:dc%;;
;;;;;AmazonRedshift;%Node:ds%;;
;;;;;AWSDirectoryService;;;Tax%
;;;;;AWSDirectoryService;%MicrosoftAD-DC-Usage;;
;;;;;AWSDirectoryService;%SimpleAD-Usage;;
;;;;;AWSDirectoryService;%Small-Directory-Usage;;
;;;;;AWSDirectoryService;%Large-ADConnector-Usage;;
;;;;;AmazonGlacier;%ProvisionedCapacityUnit;;
;;;;;AmazonGlacier;%TimedStorage-ByteHrs;;
;;;;;AmazonGlacier;%Requests-Tier3;;
;;;;;AmazonGlacier;%Requests-Tier1;;
;;;;;AmazonGlacier;%EarlyDelete%;;
;;;;;AmazonS3;%EarlyDelete-GDA;;
;;;;;AmazonS3;%EarlyDelete-INT;;
;;;;;AmazonS3;%EarlyDelete-ZIA%;;
;;;;;AmazonS3;%EarlyDelete-SIA%;;
;;;;;AmazonS3;%Requests%Tier1;;
;;;;;AmazonS3;%Requests%Tier2;;
;;;;;AmazonS3;%Requests%Tier3;;
;;;;;AmazonS3;%Requests%Tier4;;
;;;;;AmazonS3;%Requests%Tier5;;
;;;;;AmazonS3;%Requests%Tier6;;
;;;;;AmazonS3;%TagStorage-TagHrs%;;
;;;;;AmazonSNS;%DeliveryAttempts-HTTP;;
;;;;;AmazonSNS;%DeliveryAttempts-SQS;;
;;;;;AmazonSNS;%SMS-Price%;;
;;;;;AmazonSNS;%SMS-Sent%;;
;;;;;AmazonSNS;%DeliveryAttempts-APNS%;;
;;;;;translate;%TranslateText;;
;;;;;transcribe;%StreamingAudio;%StreamingAudio;
;;;;;transcribe;%TranscribeAudio;TranscribeAudio;
;;;;;AWSCodePipeline;;;Tax%
;;;;;AWSCodePipeline;%trialPipeline%;;
;;;;;CodeBuild;;;
;;;;;AmazonML;%AMLBoxUsage;TrainModel;
;;;;;AmazonML;%AMLBoxUsage;EvaluateModel;
;;;;;AmazonPolly;;;
