IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonEC2;%BoxUsage%;;
;;;;;AmazonEC2;;;Tax%
;;;;;AmazonEC2;%DedicatedUsage%;;
;;;;;AmazonEC2;%HostUsage%;;
;;;;;AmazonEC2;%EGpuUsage%;;
;;;;;AmazonEC2;%LoadBalancerUsage;;
;;;;;AmazonEC2;%ElasticIP:IdleAddress;;
;;;;;AmazonEC2;%ElasticIP:Remap;;
;;;;;AmazonEC2;%DataProcessing-Bytes;;
;;;;;AmazonEC2;%CW:AlarmMonitorUsage;;
;;;;;AmazonEC2;%CW:MetricMonitorUsage;;
;;;;;AmazonEC2;%CW:Requests;;
;;;;;AmazonDAX;%NodeUsage%;;
;;;;;AmazonDynamoDB;;;Tax%
;;;;;AmazonDynamoDB;%WriteCapacityUnit-Hrs;;
;;;;;AmazonDynamoDB;%ReadCapacityUnit-Hrs;;
;;;;;AmazonDynamoDB;%RestoreDataSize-Bytes;;
;;;;;AmazonDynamoDB;%Streams-Requests;;
;;;;;AWSDatabaseMigrationSvc;;;Tax%
;;;;;AWSDatabaseMigrationSvc;%Usg:dms%;;
;;;;;AWSDatabaseMigrationSvc;%DMS:GP2-Storage;;
;;;;;AWSDatabaseMigrationSvc;%DMS:Multi-AZ-GP2-Storage;;
;;;;;AWSDeviceFarm;%Windows-Chrome%;;
;;;;;AWSDeviceFarm;%iOS-Device%;;
;;;;;AWSDeviceFarm;%iOS-RA%;;
;;;;;AWSDeviceFarm;%Android-Device%;;
;;;;;AWSDeviceFarm;%Android-RA%;;
;;;;;IoTDeviceManagement;%IndexedData;;
;;;;;APNFee;;;Tax%
;;;;;APNFee;;;
;;;;;translate;%TranslateText;;
;;;;;transcribe;%StreamingAudio;%StreamingAudio;
;;;;;transcribe;%TranscribeAudio;TranscribeAudio;
;;;;;CloudHSM;%CloudHSM%;;
;;;;;CodeBuild;;;
;;;;;comprehend;;;
;;;;;comprehendmedical;;;
;;;;;AWSBackup;%EarlyDelete-Cold%;;
;;;;;AWSBackup;%Restore-Cold%;;
;;;;;AWSBackup;%ColdStorage%;;
;;;;;AWSBackup;%Restore-Warm%;;
;;;;;AWSBackup;%WarmStorage%;;
