IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonEFS;;;Tax%
;;;;;AmazonEFS;%TimedStorage-ByteHrs;;
;;;;;AmazonEFS;%IADataAccess-Bytes;;
;;;;;AmazonEFS;%TP-MiBpsHrs%;;
;;;;;AmazonEI;;;Tax%
;;;;;AmazonEI;%eia1%;;
;;;;;AmazonEI;%eia2%;;
;;;;;AmazonElastiCache;;;Tax%
;;;;;AmazonElastiCache;%NodeUsage:cache%;;
;;;;;AmazonElastiCache;%CreateCacheSnapshot%;;
;;;;;AmazonElastiCache;%ElastiCache:BackupUsage;;
;;;;;AmazonGuardDuty;;;Tax%
;;;;;AmazonGuardDuty;%FreeEventsAnalyzed;;
;;;;;AmazonGuardDuty;%PaidEventsAnalyzed;;
;;;;;AmazonGuardDuty;%FreeEventsAnalyzed-Bytes;;
;;;;;AmazonGuardDuty;%PaidEventsAnalyzed-Bytes;;
;;;;;AmazonKinesis;;;Tax%
;;;;;AmazonKinesis;%Storage-ShardHour;;
;;;;;AmazonKinesis;%PutRequestPayloadUnits;;
;;;;;AmazonKinesis;%ReadBytes;;
;;;;;AmazonKinesis;%EnhancedFanoutHour;;
;;;;;AmazonKinesis;%Extended-ShardHour;;
;;;;;AmazonKendra;%KendraEnterpriseEdition;;
;;;;;AmazonKendra;%DocumentsScanned;;
;;;;;AmazonKendra;%ConnectorSync;;
;;;;;AmazonLex;;;Tax%
;;;;;AmazonLex;%Req%;;
;;;;;AmazonLightsail;%DataXfer%;;
;;;;;AmazonLightsail;%UnusedStaticIP;;
;;;;;AmazonLightsail;%BundleUsage%;;
;;;;;AmazonLightsail;%DiskUsage;;
;;;;;AmazonLightsail;%SnapshotUsage;;
;;;;;AmazonRedshift;;;Tax%
;;;;;AmazonRedshift;%Node:ra%;;
;;;;;AmazonRedshift;%DataScanned%;;
;;;;;AmazonRedshift;%Node:dc%;;
;;;;;AmazonRedshift;%Node:ds%;;
;;;;;AmazonRegistrar;%Route53-Domains;;
