IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonAthena;%DataScanned%;;
;;;;;AmazonS3;%StorageAnalytics%;;
;;;;;APNFee;;;Tax%
;;;;;APNFee;%Purchase%;;
;;;;;AmazonAppStream;;;Tax%
;;;;;AmazonAppStream;%stream%;;
;;;;;AmazonAppStream;%StoppedInstance%;;
;;;;;AmazonAppStream;%Win-User;;
;;;;;AmazonLex;;;Tax%
;;;;;AmazonLex;%Req%;;
;;;;;AmazonLightsail;%DataXfer%;;
;;;;;AmazonLightsail;%UnusedStaticIP;;
;;;;;AmazonLightsail;%BundleUsage%;;
;;;;;AmazonLightsail;%DiskUsage;;
;;;;;AmazonLightsail;%SnapshotUsage;;
;;;;;AmazonNeptune;;;Tax%
;;;;;AmazonNeptune;%InstanceUsage%;;
;;;;;AmazonNeptune;%StorageIOUsage%;;
;;;;;AmazonNeptune;%StorageUsage%;;
;;;;;AmazonNeptune;%BackupUsage%;;
;;;;;AmazonManagedBlockchain;%Node%;;
;;;;;AmazonManagedBlockchain;;;Tax%
;;;;;AmazonManagedBlockchain;%Member;;
;;;;;AmazonMacie;;;
;;;;;AmazonML;%AMLBoxUsage;DataStats;
;;;;;AmazonML;%BatchPredictionChunk;;
;;;;;AmazonML;%AMLBoxUsage;TrainModel;
;;;;;AmazonML;%AMLBoxUsage;EvaluateModel;
;;;;;AWSConfig;;;Tax%
;;;;;AWSConfig;%ConfigurationItemRecorded;;
;;;;;AWSConfig;%ConfigRuleEvaluations;;
;;;;;AWSCostExplorer;;;Tax%
;;;;;AWSCostExplorer;%APIRequest;;
;;;;;AWSCostExplorer;%DataStorage;;
;;;;;AWSGlobalAccelerator;Global-Accelerator-fixed-fee;;
;;;;;AWSGlobalAccelerator;%Bytes%;;
;;;;;AWSGlobalAccelerator;;;Tax%
;;;;;AWSGlue;%DEVED-DPU-Hour%;;
;;;;;AWSGlue;%Catalog-Request;;
;;;;;AWSGlue;%Catalog-Storage;;
;;;;;AWSGlue;%Crawler-DPU-Hour%;;
;;;;;AWSGlue;%ETL-DPU-Hour%;;
;;;;;AWSGreengrass;%ActiveGGC-Devices;SingleNode;
