IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonCloudWatch;;;Tax%
;;;;;AmazonCloudWatch;%TimedStorage-ByteHrs;;
;;;;;AmazonCloudWatch;%Metrics;;
;;;;;AmazonCloudWatch;%DataScanned-Bytes;;
;;;;;AmazonCloudWatch;;;
;;;;;AWSBudgets;;;Tax%
;;;;;AWSBudgets;%BudgetsUsage%;;
;;;;;AWSDeviceFarm;%Windows-Chrome%;;
;;;;;AWSDeviceFarm;%iOS-Device%;;
;;;;;AWSDeviceFarm;%iOS-RA%;;
;;;;;AWSDeviceFarm;%Android-Device%;;
;;;;;AWSDeviceFarm;%Android-RA%;;
;;;;;AWSLambda;;;Tax%
;;;;;AWSLambda;%Provisioned-GB-Second;;
;;;;;AWSLambda;%GB-Second;;
;;;;;AWSLambda;%Request;;
;;;;;AWSLambda;;ProvisionedConcurrency;
;;;;;ElasticMapReduce;;;Tax%
;;;;;ElasticMapReduce;%BoxUsage%;;
;;;;;AmazonEC2;%BoxUsage%;;
;;;;;AmazonEC2;%DedicatedUsage%;Surcharge;
;;;;;AmazonEC2;%DedicatedUsage%;;
;;;;;AmazonEC2;%HostUsage%;;
;;;;;AmazonEC2;%EGpuUsage%;;
;;;;;AmazonEC2;%CPUCredits%;;
;;;;;ElasticMapReduce;;;Tax%
;;;;;ElasticMapReduce;%BoxUsage%;;
;;;;;AmazonWorkMail;%WorkMail%;;
;;;;;AmazonWorkSpaces;;;Tax%
;;;;;AmazonWorkSpaces;%AW-HW%;;
;;;;;AmazonWorkSpaces;%AW-SW%;;
;;;;;A4B;%SharedDevice%;;
;;;;;A4B;%User%;;
;;;;;AmazonDetective;%PreviewLogsAnalyzed-Bytes;;
;;;;;AmazonInspector;%agent-assessments%;;
;;;;;AmazonInspector;%network-assessments%;;
;;;;;AmazonMacie;;;
;;;;;AmazonPinpoint;%Pinpoint_DeliveryAttempts_GCM;;
;;;;;AmazonPinpoint;%Pinpoint_DeliveryAttempts_APNS;;
;;;;;AmazonPinpoint;Pinpoint_MonthlyTargetedAudience;Notification;
;;;;;AmazonPinpoint;%EventsRecorded;PutEvents;
;;;;;mobileanalytics;EventsRecorded;PutEvents;
