IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonS3;%DataTransfer%;;
;;;;;AmazonS3;%AWS-%ytes;;
;;;;;AmazonS3;%DataXfer%;;
;;;;;AmazonS3;%Retrieval-Bytes%;;
;;;;;AmazonS3;%S3RTC%-Bytes%;;
;;;;;AmazonS3;%Retrieval-ZIA;;
;;;;;AmazonS3;%CloudFront%Bytes;;
;;;;;AmazonQLDB;%Storage;;
;;;;;AmazonQLDB;%IO-Request;;
;;;;;AmazonRedshift;;;Tax%
;;;;;AmazonRedshift;%HeavyUsage%;;
;;;;;AmazonRedshift;%Node:ra%;;
;;;;;AmazonRedshift;%DataScanned%;;
;;;;;AmazonRedshift;%Node:dc%;;
;;;;;AmazonRedshift;%Node:ds%;;
;;;;;AmazonVPC;;;Tax%
;;;;;AmazonVPC;%DataTransfer%Bytes;;
;;;;;AmazonVPC;%AWS%Bytes;;
;;;;;AmazonVPC;%CloudFront%Bytes%;;
;;;;;AmazonVPC;%VPN-Usage-Hours:ipsec.1;;
;;;;;AmazonVPC;%TransitGateway-Hours;;
;;;;;AmazonVPC;%TransitGateway-Bytes;;
;;;;;AmazonVPC;%VpcEndpoint-Bytes;;
;;;;;AmazonVPC;%VpcEndpoint-Hours;;
;;;;;AmazonVPC;%EndpointHours;;
;;;;;AmazonVPC;%ENI-Mirror;;
;;;;;AmazonVPC;%ConnectionHours;;
;;;;;AmazonSES;;;Tax%
;;;;;AmazonSES;%Recipients%;;
;;;;;AmazonSES;%AttachmentsSize-Bytes;;
;;;;;AmazonSES;%ReceivedChunk%;;
;;;;;AmazonSES;%Message%;;
;;;;;AmazonSES;%DataTransfer-Out-Bytes;;
;;;;;AmazonSES;%DataTransfer-In-Bytes;;
;;;;;AmazonSNS;;;Tax%
;;;;;AmazonSNS;%Requests-Tier1;;
;;;;;AmazonSNS;%Requests-Tier2;;
;;;;;AmazonSNS;%DataTransfer-Out-Bytes;;
;;;;;AmazonSNS;%DataTransfer-In-Bytes;;
;;;;;AmazonSNS;%DeliveryAttempts-GCM;;
;;;;;AmazonSNS;%DeliveryAttempts-SMTP;;
;;;;;AmazonSNS;%DeliveryAttempts-HTTP;;
;;;;;AmazonSNS;%DeliveryAttempts-SQS;;
;;;;;AmazonSNS;%SMS-Price%;;
;;;;;AmazonSNS;%SMS-Sent%;;
;;;;;AmazonSNS;%DeliveryAttempts-APNS%;;
;;;;;AmazonSNS;%DeliveryAttempts-LAMBDA;;
