IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
;;;;;Data Lake Store;;Pay-as-you-go Data at Rest;Microsoft.DataLakeStore;;
;;;;;Data Lake Store;;%Transactions%;Microsoft.DataLakeStore;;
;;;;;Data Management;;Geo-Replicated Data Transfer%;;;
;;;;;Data Management;Geo Redundant;;;;
;;;;;Data Management;;;;;
;;;;;Data Services;;;;;
;;;;;SQL Data Warehouse;Compute Optimized%;100 DWUs;Microsoft.Sql;;
;;;;;Functions;;%Execution%;Microsoft.Web;;
;;;;;Functions;;%Duration;Microsoft.Web;;
;;;;;Traffic Manager;;%Azure Endpoint%;Microsoft.Network;;
;;;;;Traffic Manager;;%Service Endpoint%;Microsoft.Network;;
;;;;;Traffic Manager;;%DNS Queries%;Microsoft.Network;;
;;;;;Traffic Manager;;%Real User Measurements;Microsoft.Network;;
;;;;;Traffic Manager;;%Traffic View%;Microsoft.Network;;
;;;;;Azure Firewall;;Deployment;Microsoft.Network;;
;;;;;Azure Firewall;;Data Processed;Microsoft.Network;;
;;;;;Notification Hubs;;;Microsoft.NotificationHubs;;
;;;;;Power BI;Embedded;;Microsoft.PowerBI;;
;;;;;Power BI Embedded;Power BI Embedded;A1 Node;Microsoft.PowerBIDedicated;;
;;;;;Power BI Embedded;;A1;Microsoft.PowerBIDedicated;;
;;;;;Recovery Services;Backup;Protected Instances;;;
;;;;;Recovery Services;Site Recovery;VM replicated to Azure;Microsoft.RecoveryServices;;
;;;;;Scheduler;Scheduler;Free Scheduler Units;;;
;;;;;Scheduler;Scheduler;Standard Scheduler Units;;;
;;;;;Scheduler;;Free Unit;Microsoft.Scheduler;;
;;;;;Scheduler;;Standard Unit;Microsoft.Scheduler;;
;;;;;Sentinel;;Free Trial;microsoft.operationalinsights;;
;;;;;Sentinel;;Analysis;microsoft.operationalinsights;;
;;;;;SQL Advanced Threat Protection;;%Nodes;Microsoft.Sql;;
;;;;;Advanced Data Security;;Standard%Node;Microsoft.Sql;;
;;;;;SQL Database;;Database Units%;Database;;
;;;;;SQL Database;LTR Backup Storage;Data Stored;;;
;;;;;SQL Database;Managed Instance%;;Microsoft.Sql;;
;;;;;SQL Database;Single/Elastic Pool%;vCore;Microsoft.Sql;;
;;;;;SQL Database;Elastic Pool%;eDTUs;Microsoft.Sql;;
;;;;;SQL Database;SingleDB Hyperscale%;vCore;Microsoft.Sql;;
;;;;;SQL Database;Single%;%DTUs;Microsoft.Sql;;
;;;;;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIBC%G5%;
;;;;;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIGP%G5%;
;;;;;SQL Database;;;Microsoft.Sql;;
