IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service
;;;;;Data Management;;Geo-Replicated Data Transfer%;
;;;;;Data Management;Geo Redundant;;
;;;;;Data Management;;;
;;;;;Machine Learning Studio;Production Web API;;Microsoft.MachineLearning
;;;;;Azure Bastion;;Basic;Microsoft.Network
;;;;;Azure Bastion;;Data Transfer%;Microsoft.Network
;;;;;API Management;API Management;Developer;Microsoft.ApiManagement
;;;;;API Management;API Management;Standard;Microsoft.ApiManagement
;;;;;API Management;API Management;Basic;Microsoft.ApiManagement
;;;;;API Management;API Management;Premium;Microsoft.ApiManagement
;;;;;API Management;;Consumption Calls;Microsoft.ApiManagement
;;;;;API Management;;Basic Units;Microsoft.ApiManagement
;;;;;API Management;;Developer Units;Microsoft.ApiManagement
;;;;;API Management;;Premium Units;Microsoft.ApiManagement
;;;;;API Management;;Standard Units;Microsoft.ApiManagement
;;;;;Azure Monitor;Notifications;Webhook;microsoft.insights
;;;;;Azure Monitor;Notifications;Email;microsoft.insights
;;;;;Backup;Geo Redundant Storage;Standard IO - Block Blob (GB);Microsoft.RecoveryServices
;;;;;Backup;;GRS Data Stored;Microsoft.RecoveryServices
;;;;;Backup;;%Azure VM%Protected Instances;Microsoft.RecoveryServices
;;;;;Business Analytics;;Compute Hours;Microsoft.HDInsight
;;;;;Business Analytics;Data Factory;Data Movement Cloud;Microsoft.DataFactory
;;;;;Business Analytics;Data Factory;Data Movement On Premises;Microsoft.DataFactory
;;;;;Business Analytics;Data Factory;High Frequency Cloud Activity;Microsoft.DataFactory
;;;;;Business Analytics;Data Factory;High Frequency On Premises  Activity;Microsoft.DataFactory
;;;;;Business Analytics;Data Factory;Low Frequency On Premises  Activity;Microsoft.DataFactory
;;;;;Business Analytics;Data Factory;Low Frequency Cloud Activity;Microsoft.DataFactory
;;;;;Business Analytics;Data Lake Store;Data at Rest (GB);Microsoft.DataLakeStore
;;;;;Business Analytics;Data Lake Store;Transactions%;Microsoft.DataLakeStore
;;;;;Virtual Machines Licenses;;;
;;;;;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute
;;;;;Virtual Machines;SQL Server%;Compute Hours;
;;;;;Virtual Machines;BizTalk Server;Compute Hours;%Compute
;;;;;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute
;;;;;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned
;;;;;Virtual Machines;Reservation%;Compute Hours;%Compute
