IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
;;;;;Container Instances;Standard;%Duration;Microsoft.ContainerInstance;;
;;;;;Dynamics;Customer Insights;Standard S1 (Daily Unit);Microsoft.CustomerInsights;;
;;;;;Identity;Active Directory B2C;Basic Authentications;Microsoft.AzureActiveDirectory;;
;;;;;Virtual Network;;;;;
;;;;;Load Balancer;;;Microsoft.Batch;;
;;;;;Load Balancer;;;Microsoft.MachineLearningServices;;
;;;;;Load Balancer;;;Microsoft.Network;;
;;;;;SignalR;;;Microsoft.SignalRService;;
;;;;;Event Grid;;Operations;;;
;;;;;Windows Azure - All Services;All;Data Transfer Out%;Microsoft.Storage;;
;;;;;Media Services;;;microsoft.media;;
;;;;;IoT Hub;;;Microsoft.Devices;;
;;;;;Azure Site Recovery;;VM _eplicated to Azure;Microsoft.RecoveryServices;;
;;;;;Cognitive Services;QnA Maker;;Microsoft.CognitiveServices;;
;;;;;Virtual Machines Licenses;;;;;
;;;;;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute;;
;;;;;Virtual Machines;SQL Server%;Compute Hours;;;
;;;;;Virtual Machines;BizTalk Server;Compute Hours;%Compute;;
;;;;;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute;;
;;;;;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned;;
;;;;;Virtual Machines;Reservation%;Compute Hours;%Compute;;
;;;;;Visual Studio;Team Services;Users;;;
;;;;;Visual Studio;Build and Deployment;Private Agents;;;
;;;;;Visual Studio;Build and Deployment;Hosted Agents;;;
;;;;;Visual Studio;Application Insights;;microsoft.insights;;
;;;;;Websites;Web Sites;Free Web Sites;Microsoft.Web;;
;;;;;Websites;;%Hours;Microsoft.Web;;
;;;;;Websites;Web Sites;IP SSL;Microsoft.Web;;
;;;;;Windows Azure - All Services;Read-Access Geo Redundant;Standard IO - Table/ Queue (GB);Microsoft.Storage;;
;;;;;Windows Azure CDN;Windows Azure CDN;Data Transfer (GB);Microsoft.Cdn;;
;;;;;Windows Azure Service Bus;Read-Access Geo Redundant;Standard IO - Page Blob/Disk (GB);Microsoft.Sql;;
;;;;;Windows Azure Service Bus;Read-Access Geo Redundant;Standard IO - Page Blob/Disk (GB);Microsoft.Storage;;
;;;;;Windows Azure Storage;;;;;
;;;;;Azure Marketplace;;;;;
